,0,1,2,3,4,5,6,y_step_1,y_step_2,y_step_3
2018-04-09,0.0040478675351355705,-0.02755035572427064,0.0,0.45741703414273616,0.266,0.40909256580197617,0.9124928890712276,399.0,399.0,399.0
2018-04-10,0.021581146722365375,0.004094032028310474,0.03333333333333335,0.47147662319014216,0.266,0.41301304294128144,0.9107251102063582,399.0,399.0,399.0
2018-04-11,0.04380062048740156,0.055350583785005056,0.0866666666666667,0.4881047520066204,0.266,0.41692588132872865,0.908940487313808,399.0,399.0,399.0
2018-04-12,0.016884251221201158,-0.022221866318048424,0.006666666666666669,0.4696121602611356,0.266,0.4208310085956554,0.9071390534005045,399.0,399.0,349.0
2018-04-13,-0.012550321843803862,-0.0257706005008753,0.0,0.44072369956529656,0.266,0.42472835251601765,0.9053208417842977,399.0,349.0,349.0
2018-04-14,0.008978122602832034,-0.0012594795594270364,0.026666666666666675,0.45951619431684776,0.23266666666666666,0.4286178410077261,0.9034858860933443,349.0,349.0,400.0
2018-04-15,0.006731406283981627,-0.027838100489461875,0.0,0.46011595564334584,0.23266666666666666,0.4324994021339788,0.901634220265486,349.0,400.0,400.0
2018-04-16,0.041532601563133535,0.08576574198840368,0.1166666666666667,0.4826069562320754,0.26666666666666666,0.4363729641045919,0.8997658785476211,400.0,400.0,400.0
2018-04-17,0.043563016545902195,-0.028434960901888493,0.0033333333333333344,0.49680127485589765,0.26666666666666666,0.4402384552773276,0.897880895495072,400.0,400.0,349.0
2018-04-18,0.030458546394471278,-0.02032494098877859,0.010000000000000002,0.4829068473219422,0.26666666666666666,0.44409580415921857,0.8959793059709454,400.0,349.0,349.0
2018-04-19,0.02819970738831246,-0.03014005765813578,0.0,0.48170731871084627,0.23266666666666666,0.4479449394078912,0.8940611451454876,349.0,349.0,349.0
2018-04-20,0.018161287294207993,-0.029063679374382232,0.0,0.4716113557456083,0.23266666666666666,0.4517857898328841,0.8921264484954344,349.0,349.0,349.0
2018-04-21,0.01855885221068781,-0.02910630861668028,0.0,0.47201119960902815,0.23266666666666666,0.45561828439696517,0.8901752518033548,349.0,349.0,349.0
2018-04-22,0.018757624301624358,-0.029127622126186227,0.0,0.4722111111140066,0.23266666666666666,0.45944235221744595,0.8882075911569887,349.0,349.0,349.0
2018-04-23,0.017564932514481508,-0.028999734716926902,0.0,0.47101158250302433,0.23266666666666666,0.46325792256749165,0.8862235029485801,349.0,349.0,349.0
2018-04-24,0.012496039811941985,-0.02845621830931066,0.0,0.4659136335708354,0.23266666666666666,0.4670649248774301,0.8842230238742037,349.0,349.0,349.0
2018-04-25,0.006135066314494741,-0.027774157420047303,0.0,0.45951619729589765,0.23266666666666666,0.4708632887360565,0.8822061909330863,349.0,349.0,349.0
2018-04-26,0.005638109428518637,-0.027720870787787254,0.0,0.4590163917220025,0.23266666666666666,0.47465294389193546,0.8801730414269225,349.0,349.0,550.0
2018-04-27,0.008818599139199747,-0.028061901550017383,0.0,0.46221511283840755,0.23266666666666666,0.4784338202547012,0.8781236129591848,349.0,550.0,1500.0
