,Rainfall,LakeLevel,DayOfWeek,Month,AverageGate,FlowRate,IsWeekend
2018-06-05,63.135,279.2598333224654,1,6,1200.0,38.700890522507855,False
2018-06-06,5.174999999999999,279.25970832655827,2,6,1200.0,38.45870433745091,False
2018-06-07,0.5175,279.2466249803702,3,6,1500.0,38.9273991087815,False
2018-06-08,0.0,279.2342499857147,4,6,1500.0,38.50709785858584,False
2018-06-09,0.0,279.22254165410993,5,6,1500.0,38.00801551471966,True
2018-06-10,0.0,279.2095416501164,6,6,1500.0,37.479180671935,True
2018-06-11,3.4755,279.19362498472134,0,6,1500.0,37.080240701456475,False
2018-06-12,17.874,279.20170831332604,1,6,1500.0,37.223683568627855,False
2018-06-13,0.993,279.2150833174586,2,6,1500.0,37.59114474149968,False
2018-06-14,0.0,279.2000416482488,3,6,1500.0,37.159908343099524,False
2018-06-15,0.0,279.1869999880592,4,6,1500.0,36.635159217874865,False
2018-06-16,8.937000000000001,279.183374980092,5,6,559.0,26.196593910765557,True
2018-06-17,2.4825,279.1962499782443,6,6,559.0,32.728602227446515,True
2018-06-18,1.986,279.19387497901914,0,6,1500.0,36.85746752810373,False
2018-06-19,0.993,279.18424998869494,1,6,1500.0,36.54001510201824,False
2018-06-20,0.0,279.1685833200812,2,6,1500.0,35.8449498776547,False
2018-06-21,0.0,279.15774997721115,3,6,559.0,25.67499154888606,False
2018-06-22,0.0,279.162583317856,4,6,559.0,25.717147939687873,False
2018-06-23,0.0,279.1700416495402,5,6,559.0,25.82969035633548,True
2018-06-24,0.4965,279.1788333147764,6,6,559.0,25.82969035633548,True
2018-06-25,10.426499999999999,279.1932083209355,0,6,539.0,25.745264448788774,False
2018-06-26,2.979,279.18933332363764,1,6,539.0,25.787457578025005,False
2018-06-27,0.0,279.1959166492025,2,6,539.0,25.787457578025005,False
2018-06-28,0.0,279.2000833193461,3,6,539.0,25.886017780445002,False
2018-06-29,0.4965,279.2029999857147,4,6,539.0,25.928289542719902,False
2018-06-30,0.0,279.19387498895327,5,6,539.0,25.787469534233065,True
2018-07-01,4.4685,279.1967083180944,6,7,539.0,25.717147939687873,True
2018-07-02,0.4965,279.184083319207,0,7,1200.0,35.92370600797244,False
2018-07-03,0.0,279.16320831725994,1,7,1200.0,35.34232575241345,False
2018-07-04,0.0,279.1433749909202,2,7,539.0,25.07333729319427,False
2018-07-05,0.0,279.1462916572888,3,7,560.0,25.43654751275735,False
2018-07-06,0.0,279.15104165449736,4,7,560.0,25.52061316782762,False
2018-07-07,0.0,279.15258332366744,5,7,560.0,25.534632006276254,True
2018-07-08,4.965,279.1549999865393,6,7,560.0,25.590738923066052,True
2018-07-09,13.4055,279.1630416502555,0,7,1100.0,34.65514896018766,False
2018-07-10,2.979,279.1466249875724,1,7,1400.0,35.17008471287507,False
2018-07-11,0.4965,279.13079166188834,2,7,559.0,25.282664104250465,False
2018-07-12,0.0,279.130916660279,3,7,559.0,25.184893218062747,False
2018-07-13,3.4755,279.13691665877894,4,7,559.0,25.296635507581673,False
2018-07-14,2.979,279.1532499854763,5,7,559.0,25.47856717836059,True
2018-07-15,31.279499999999995,279.16545831561086,6,7,559.0,25.56268020539115,True
2018-07-16,0.4965,279.1774999886751,0,7,1200.0,35.797717041301766,False
2018-07-17,0.4965,279.17458332230643,1,7,559.0,25.984703739163447,False
2018-07-18,0.0,279.1777916515867,2,7,559.0,25.956484680586833,False
2018-07-19,14.895,279.17920831988255,3,7,1500.0,35.923724896063845,False
2018-07-20,0.0,279.16354165126876,4,7,1500.0,35.84494515234965,False
2018-07-21,0.0,279.1423333227634,5,7,1500.0,35.107527343498745,True
2018-07-22,10.4265,279.13162499442694,6,7,1500.0,34.67071495415193,True
2018-07-23,0.4965,279.1165416590869,0,7,1500.0,34.00354372785715,False
2018-07-24,0.0,279.09783332571385,1,7,1500.0,33.37154356681889,False
2018-07-25,0.0,279.0806249941389,2,7,1500.0,32.60630139788759,False
2018-07-26,0.4965,279.06554165755705,3,7,1500.0,32.0590937320129,False
2018-07-27,0.993,279.05249999488393,4,7,1500.0,31.54520419756016,False
2018-07-28,0.0,279.0391666618486,5,7,1500.0,30.929290196651205,True
2018-07-29,1.986,279.0269999916355,6,7,1500.0,30.525966073319196,True
2018-07-30,0.0,279.01529166375593,0,7,1500.0,30.21352790242101,False
2018-07-31,0.0,279.0073333298166,1,7,1500.0,28.04297885303258,False
2018-08-01,1.986,279.00595832918583,2,8,900.0,28.057419947629583,False
2018-08-02,0.4965,279.0010833333333,3,8,639.0,25.64690129242761,False
2018-08-03,7.944000000000001,279.00483486150137,4,8,700.0,25.84376697171767,False
2018-08-04,13.902000000000001,279.01360448847214,5,8,649.0,25.324594145370398,True
2018-08-05,19.86,279.03720706726114,6,8,649.0,25.5486561058337,True
2018-08-06,4.4685,279.06505878170327,0,8,599.0,25.15699796163485,False
2018-08-07,2.979,279.06924999405936,1,8,599.0,25.059398945855044,False
2018-08-08,35.748000000000005,279.10370832830665,2,8,599.0,25.717158438199448,False
2018-08-09,0.4965,279.13045832787947,3,8,549.0,25.198854058012124,False
2018-08-10,0.0,279.13349999388055,4,8,549.0,25.1430371179742,False
2018-08-11,0.0,279.13754166439173,5,8,549.0,25.226770454700738,True
2018-08-12,0.0,279.1411249950528,6,8,549.0,25.240743237315606,True
2018-08-13,2.4825,279.14620832254485,0,8,549.0,25.254716019930477,False
2018-08-14,14.895000000000001,279.17587498476104,1,8,549.0,25.871930684676112,False
2018-08-15,2.979,279.1661666547258,2,8,1500.0,36.460806696596144,False
2018-08-16,0.0,279.1450833171606,3,8,1500.0,35.53051009996378,False
2018-08-17,2.4825,279.1356666587293,4,8,549.0,25.254716019930477,False
2018-08-18,4.468500000000001,279.14391666054723,5,8,549.0,25.324594145370398,True
2018-08-19,0.0,279.14729165434835,6,8,549.0,25.366550563702766,True
2018-08-20,11.419500000000001,279.15341664875547,0,8,549.0,25.366550563702766,False
2018-08-21,2.979,279.16091665029523,1,8,549.0,25.56268020539115,False
2018-08-22,2.4825,279.1676666602492,2,8,549.0,25.632861418002953,False
2018-08-23,2.4825,279.1714999789993,3,8,549.0,25.70309230931104,False
2018-08-24,0.0,279.1689999938011,4,8,549.0,25.73120881841194,False
2018-08-25,0.4965,279.1684583167235,5,8,549.0,25.70309230931104,True
2018-08-26,0.0,279.1683333208163,6,8,549.0,25.70309230931104,True
2018-08-27,0.0,279.16812498768167,0,8,549.0,25.68904192909855,False
2018-08-28,0.0,279.16791665703056,1,8,549.0,25.618821543578292,False
2018-08-29,28.797,279.19491664965943,2,8,549.0,25.787457578025005,False
2018-08-30,8.4405,279.199624984463,3,8,1200.0,36.76212927208475,False
2018-08-31,2.979,279.1822916557391,4,8,1200.0,36.270937815312735,False
2018-09-01,0.0,279.1639166514079,5,9,549.0,25.717147939687873,True
2018-09-02,13.4055,279.17670831481615,6,9,549.0,25.871930684676112,True
2018-09-03,6.4545,279.18847824749736,0,9,549.0,26.12588868272058,False
2018-09-04,7.944,279.17366665502385,1,9,1200.0,36.065609562934696,False
2018-09-05,8.4405,279.16204165071247,2,9,549.0,25.787457578025005,False
2018-09-06,5.4615,279.17249998102585,3,9,549.0,25.857848828196893,False
2018-09-07,0.0,279.1695833196242,4,9,549.0,25.914197209466895,False
2018-09-08,0.0,279.1729999919732,5,9,549.0,25.900104876213888,True
2018-09-09,0.0,279.16783330986897,6,9,549.0,25.857848828196893,True
2018-09-10,0.0,279.16937499394015,0,9,549.0,25.801535659489147,False
2018-09-11,0.0,279.1685416514675,1,9,549.0,25.75932532751284,False
2018-09-12,0.0,279.164666651686,2,9,549.0,25.75932532751284,False
2018-09-13,0.0,279.15749997794626,3,9,549.0,25.67499154888606,False
2018-09-14,0.0,279.1564999833703,4,9,549.0,25.67499154888606,False
2018-09-15,0.0,279.15779164334134,5,9,549.0,25.590738923066052,True
2018-09-16,0.0,279.15666665285823,6,9,549.0,25.56268020539115,True
2018-09-17,14.5,279.1594583227833,0,9,549.0,25.63286018627322,False
2018-09-18,5.5,279.16524999999996,1,9,549.0,25.829689980612052,False
2018-09-19,0.4615,279.16454166666665,2,9,549.0,25.731214718678764,False
2018-09-20,0.0,279.160875,3,9,549.0,25.6890447701859,False
2018-09-21,0.0,279.1562916666666,4,9,549.0,25.618824550795242,False
2018-09-22,2.3075,279.1545,5,9,549.0,25.646901078140647,True
2018-09-23,0.0,279.14962499999996,6,9,549.0,25.478568140485574,True
2018-09-24,1.846,279.1411666666666,0,9,549.0,25.36655675473622,False
2018-09-25,4.1535,279.1358333333333,1,9,549.0,25.31061432180007,False
2018-09-26,0.0,279.13179166666663,2,9,549.0,25.282658933214183,False
